,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码,订单编号
429,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010,2472151902250593
430,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2471335290388094
431,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2471180093089577
432,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2260092366620245
433,美国进口普利普莱叶黄素软,176,1,74312149047,,,,卖家已发货，等待买家确认,74312149047,2576902226322512
434,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2466803118829984
435,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2467354699580485
436,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261,2259637782912154
437,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2463082685447788
438,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2258972180040842
439,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2462205498282883
440,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999,2568841476772817
441,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2461689096924589
442,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338,2460971143590666
443,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2565082612075904
444,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338,2456561306526693
445,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2456522097472489
446,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2454823510615192
447,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2559304439946101
448,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2255350380734258
449,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2253653999629850
450,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338,2559821855570432
451,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2558555030177404
452,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732,2451693493156598
453,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2254870781870245
454,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261,2253953963695043
455,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2449075516279394
456,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341,2254393785852058
457,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2447610717885892
458,日本fancl美白丸全身,204,1,490804934732,,,礼物多多送药盒多送几个货到了返10元,交易成功,490804934732,2252556191933740
459,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2447491724505871
460,asana G6消腩 丸,240,1,489517460012,,,,交易成功,489517460012,2254179173412242
461,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2556406668162426
462,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251,2553000047943327
463,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2444093313953690
464,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2443159115434184
465,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易关闭,490804914233,2444776535414260
466,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341,2250027793134848
467,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2251630185512742
468,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2251531587341753
469,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2251273583106844
470,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2546864406575100
471,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2547516857920132
472,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2437161722755068
473,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731,2544996659811125
474,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2249953980926044
475,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2542103679563817
476,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2542013073912119
477,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261,2435203744638771
478,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010,2248623960216953
479,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2541057266021835
480,日本代购新谷酵素夜迟减肥,399,6,456026429338,,,,交易成功,456026429338,2539265275922835
481,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033,2432378898121594
482,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2428840152294874
483,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2247700780493845
484,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2246665566671858
485,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2427707319265279
486,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2427720286793496
487,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2428989503076580
488,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2534899259656826
489,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2427458905694686
490,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2245943565186853
491,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2533025842248323
492,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2424914755234166
493,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2424324098849080
494,swisse睡眠片 澳洲,169,1,931177058824,,,,卖家已发货，等待买家确认,931177058824,2531315660890017
495,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732,2528546833123396
496,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2526094242742825
497,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412337920794561
498,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2471793440272432
499,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2284960165968043
500,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2648604479519517
501,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2527518735448674
502,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732,2516862083035280
503,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2597542268720327
504,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2487852691402298
505,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2592247851440429
506,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2578159421026009
507,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704,2259542385536141
508,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2570819233251603
509,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2569679811160610
510,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易关闭,ecms-tz-0010,2459970758954373
511,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2257887771296540
512,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2455430551932369
513,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2563375460955638
514,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2254184189594341
515,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2445184709672283
516,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731,2252029188549549
517,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2419357286233699
518,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2523185406236146
519,fancl/芳珂燃脂素 ,258,2,490804914233,,,,卖家已发货，等待买家确认,490804914233,2521214871616127
520,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2513537668869139
521,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2507783042005234
522,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2494475208965109
523,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,交易成功,456026429033,2495393262923725
524,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2241740788343051
525,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2240789170243447
526,香港直邮  日本FANC,298,1,490804917306,,,,交易关闭,490804917306,2490249069478629
527,FANCL/芳珂 HTC,198,1,490804926704,,,,交易关闭,490804926704,2238187594507557
528,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2238459971085341
529,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2382693294412778
530,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2460258870987015
531,日本进口水果果蔬酵素酵母,158,1,493309403134,,,,交易成功,493309403134,2229047789398045
532,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2451660668692718
533,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261,2352951484247595
534,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2659836653969117
535,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2287224974468850
536,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2540681700175176
537,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2531650295826095
538,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2650216466094225
539,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2276730194966755
540,日本fancl美白丸全身,204,2,490804934732,,,,交易关闭,490804934732,2514509506543680
541,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2506454691353787
542,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338,2271507362495158
543,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2500834348971464
544,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2603182255146326
545,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2544435630135207
546,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2535124877188817
547,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2412202134623566
548,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2493962253431117
549,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251,2239153995641849
550,swisse钙片+维生素,160,1,931177059250,,,,交易成功,931177059250,2239982386230641
551,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2473682013998602
552,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2229969994157352
553,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2367311754354160
554,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2661377023844110
555,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2658340800336406
556,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2539152283497387
557,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2658086444184225
558,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2538384681236685
559,普丽普莱氨糖软骨素 缓解,290,1,25077278145,,,,买家已付款，等待卖家发货,25077278145,2538322299278592
560,日本kawai卡哇伊肝油,259,2,498704921251,,,,卖家已发货，等待买家确认,498704921251,2536527723271163
561,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2536198887658692
562,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2656037625741404
563,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2536869934319069
564,美国进口普利普莱叶黄素软,176,1,74312149047,,,,交易成功,74312149047,2535259934210072
565,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2285062176637146
566,swisse胶原蛋白片澳,169,1,931177058821,,,,卖家已发货，等待买家确认,931177058821,2651456049377816
567,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2534275542590068
568,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2532513689914794
569,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2284369777544255
570,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2650863064667521
571,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2284191370249545
572,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2528139137172563
573,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2526758937253665
574,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2644026244264816
575,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2642887675640531
576,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2280283164600148
577,日本代购新谷酵素夜迟减肥,399,2,456026429341,,,,交易成功,456026429341,2522867503957798
578,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2638874241765833
579,普利普莱氨糖软骨素美国三,489,3,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2280530783666546
580,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2521128692907198
581,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2279495160310742
582,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2520218696211189
583,swisse护肝片 澳洲,170,1,931177058999,,,,交易成功,931177058999,2519358547598371
584,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261,2635665254368722
585,swisse葡萄籽皙颜美,260,2,931177059731,,,,交易成功,931177059731,2516996298859993
586,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2278383376247642
587,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2514512136780767
588,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2276518592409055
589,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704,2630868254758016
590,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2275860994851840
591,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2510133332397661
592,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2275945569442453
593,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2275952165392453
594,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999,2627297017020303
595,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2624886645913116
596,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2624703032775811
597,普丽普莱氨糖软骨素 缓解,290,1,25077278145,,,,卖家已发货，等待买家确认,25077278145,2625119457570419
598,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2505892085350597
599,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2618784433720375
600,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2615353869033015
601,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2615115224838361
602,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2273689377874650
603,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2612412059506919
604,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2503669940589573
605,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732,2270858596851451
606,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733,2272442380707644
607,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2271935785460144
608,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2500210090686391
609,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2608768268641218
610,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2496479685181690
611,swisse睡眠片 澳洲,169,1,931177058824,,,,卖家已发货，等待买家确认,931177058824,2269143393279445
612,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2269140592669445
613,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2604329262416019
614,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731,2604286269656019
615,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2495213892800490
616,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2601406459425533
617,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731,2599513641856026
618,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2600225819321505
619,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2491689333561265
620,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2596911073420629
621,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2596507077092218
622,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2597574429568009
623,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2597058065220132
624,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2596826063177025
625,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2487964331077266
626,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2484632290822180
627,普丽普莱 番茄红素软胶囊,226,1,25077184804,,,,卖家已发货，等待买家确认,25077184804,2264988188892457
628,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2479328294668879
629,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2586590267859737
630,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2264321571898651
631,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2476408705230578
632,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2582399049865536
633,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233,2263238771484848
634,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2261468596314857
635,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2472206507413786
636,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2576230471103226
637,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2576357807818308
638,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,卖家已发货，等待买家确认,931177059169,2467898951479562
639,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2573259658341726
640,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731,2459476686220794
641,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341,2255817594540245
642,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251,2255683986075055
643,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2559349673560213
644,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2255041571275757
645,fancl/芳珂 祛痘淡,198,1,490804934733,,,,交易成功,490804934733,2450411308569481
646,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2450287103311687
647,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2553206678380522
648,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341,2252106179208750
649,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731,2547878434917701
650,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2546806841235233
651,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732,2438741286640493
652,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2437835127792765
653,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2250926575345444
654,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2439005142754872
655,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2437733949412668
656,swisse护肝片 澳洲,170,1,931177058999,,,,交易成功,931177058999,2545570267174139
657,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2436000316585995
658,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2540785072369133
659,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2433810501931280
660,香港直邮 FANCL 护,260,1,490804908951,,,,交易成功,490804908951,2432155916110891
661,fancl/芳珂 祛痘淡,198,1,490804934733,,,,交易成功,490804934733,2432680140159160
662,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704,2248115772210652
663,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2535789643999035
664,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2427597510370485
665,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2535352640930126
666,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2535973469742526
667,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2426606717379191
668,普丽普莱氨糖维骨力/软骨,580,2,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2422344354502266
669,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2510321497856391
670,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010,2509801144437363
671,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261,2617574653055516
672,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2616133603200966
673,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2617095421898867
674,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2503295110209477
675,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2504011931971464
676,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732,2499840723154867
677,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2604574641375519
678,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2492350683515684
679,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,交易关闭,931177059169,2491215358984365
680,香港直邮 FANCL 护,260,1,490804908951,,,,卖家已发货，等待买家确认,490804908951,2492092906258575
681,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2600650266619416
682,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338,2267624363507642
683,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341,2597683821628011
684,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2485674908460498
685,日本进口水果果蔬酵素酵母,215,1,493309403145,,,,交易成功,493309403145,2593199455267438
686,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341,2483442126402672
687,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704,2591781866882823
688,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347,2587131260228734
689,日本fancl美白丸全身,204,1,490804934732,,,最新的日期，带正品 防伪码,卖家已发货，等待买家确认,490804934732,2478297292743194
690,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306,2476612901043096
691,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731,2263652182656249
692,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2475587338078164
693,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2580784659388022
694,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2262096782407954
695,asana G6消腩 丸,240,1,489517460012,,,,卖家已发货，等待买家确认,489517460012,2578011643186922
