订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
228496016596,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,等待买家付款,456026429338
253686993431,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
253709114260,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265575182491,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253696894121,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265487165636,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
265487165636,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
253523012054,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265410160273,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
265477645399,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253513632739,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
253506311165,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347
253495888970,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253489995155,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253619390988,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
253619390988,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
265421901459,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253604590956,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999
228392659080,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,明天发货，谢谢,卖家已发货，等待买家确认,456026429338
253399291065,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033
253525993421,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
253515453789,日本kawai卡哇伊肝油,259,2,498704921251,,,,卖家已发货，等待买家确认,498704921251
228524877239,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265384706421,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306
265237624368,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265215307124,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
265215307124,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
265363782524,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253480090092,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
228506217663,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
265186424536,FANCL/芳珂 HTC,198,2,490804926704,,,,卖家已发货，等待买家确认,490804926704
228500178101,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
253447954568,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
265133003008,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265133003008,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
265145604937,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
253427554259,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
265282222699,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253251368991,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
265264622119,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253393574800,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253390250077,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易关闭,490804914233
253374850868,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265096501938,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
253113711282,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
228436977754,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
228435317408,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251
253094475620,KAWAI 鱼肝油钙丸 ,238,2,498704921261,,,,卖家已发货，等待买家确认,498704921261
253084911617,日本新谷酵素加强版黄金夜,556,3,456026429352,,,,卖家已发货，等待买家确认,456026429352
253212853337,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265086306466,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
228419357680,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
253180289415,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
253043931460,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251
228419137024,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
253215154686,日本kawai卡哇伊肝油,259,2,498704921251,,,保证正品，及时发货，包装良好，谢谢！,交易关闭,498704921251
253212454311,日本kawai卡哇伊肝油,259,2,498704921251,,,保证正品，发货请快一点，包装良好，谢谢。,交易关闭,498704921251
253165029582,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
253034672644,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易关闭,498704921251
264860447951,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
265021646609,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
252965575128,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252951192969,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
252951192969,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
252951192969,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
252951192969,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
264983206135,日本FANCL复合维生素,99,1,490804928347,,,帮我发圆通快递吧,卖家已发货，等待买家确认,490804928347
252922791406,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253052769864,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
252927508070,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347
264950506515,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
253080330478,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
228369837979,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
252908608250,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
253030909979,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
252963369400,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264838546138,日本kawai卡哇伊肝油,259,1,498704921251,,,,等待买家付款,498704921251
228236976193,日本代购新谷酵素夜迟减肥,399,3,456026429338,,,,卖家已发货，等待买家确认,456026429338
264681524650,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264681524650,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
228168419302,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264735185728,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
252772152257,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
264681501613,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
264681501613,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
252695688232,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261
264726466292,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264574064269,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
252813913717,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
228134399989,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252841754905,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264546324006,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252830794530,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
252830794530,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
252644928275,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
252644928275,FANCL/芳珂 HTC,198,2,490804926704,,,,卖家已发货，等待买家确认,490804926704
252640208556,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
252751873544,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
264521461220,swisse护肝片 澳洲,170,1,931177058999,,,,交易关闭,931177058999
264521461220,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347
252675893725,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
252534915736,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264393567606,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易关闭,490804914233
264402624426,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
264381163490,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
228229198690,fancl/芳珂 祛痘淡,198,1,490804934733,,,,等待买家付款,490804934733
264288767564,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
252420731575,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264387645326,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易关闭,456026429338
264378985273,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
264271424954,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
228097396755,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
264275861562,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
228068316422,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264149003488,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
264249585490,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252442750915,日本fancl美白丸全身,204,2,490804934732,,,,卖家已发货，等待买家确认,490804934732
227983699894,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
252242755657,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306
264178501922,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
252322793385,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
252181311297,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
